timestep,x,y,z,timestamps,date
0.05568983333,-0.4339321062,1.512252228,-0.6002394909000001,1.4549561057119122e+18,2016-02-08 18:28:25.711912192
0.06568483333,-0.6519414486999999,2.101946412,0.5444044286,1.4549561057219072e+18,2016-02-08 18:28:25.721907200
0.07567983333,-0.9156891739,2.310685725,0.6866566604000001,1.4549561057319022e+18,2016-02-08 18:28:25.731902208
0.08567483332999999,-0.5626845789,1.961985411,-0.1084997642,1.4549561057418972e+18,2016-02-08 18:28:25.741897216
0.09566983332999998,0.442017636,0.9983566703,0.4826052064,1.4549561057518922e+18,2016-02-08 18:28:25.751892224
0.1056648333,0.9409216636,0.34076111020000005,0.6920162182999999,1.4549561057618872e+18,2016-02-08 18:28:25.761887232
0.1156598333,0.7752057248,0.359991433,0.5352751708,1.4549561057718822e+18,2016-02-08 18:28:25.771882240
0.1256548333,0.7103288206,0.7174888824,0.1008633006,1.4549561057818772e+18,2016-02-08 18:28:25.781877248
0.1356498333,0.9237463447,1.5508575919999998,0.2129684579,1.4549561057918723e+18,2016-02-08 18:28:25.791872256
0.1456458333,0.8372095996,1.895571274,1.772186984,1.4549561058018683e+18,2016-02-08 18:28:25.801868288
0.1556408333,0.3237153071,1.862654373,2.4911974580000003,1.4549561058118633e+18,2016-02-08 18:28:25.811863296
0.1656358333,-0.532046923,2.015535235,2.386730518,1.4549561058218583e+18,2016-02-08 18:28:25.821858304
0.17563083329999998,-0.561553435,2.114717315,1.806511309,1.4549561058318533e+18,2016-02-08 18:28:25.831853312
0.1856258333,-0.2281704877,2.545475991,1.80868238,1.4549561058418483e+18,2016-02-08 18:28:25.841848320
0.1956208333,-0.1064218099,2.59535011,0.4190793014,1.4549561058518433e+18,2016-02-08 18:28:25.851843328
0.2056158333,0.5847355986,2.328537274,-1.62797535,1.4549561058618383e+18,2016-02-08 18:28:25.861838336
0.2156108333,1.210896089,2.274136534,-1.661747113,1.4549561058718333e+18,2016-02-08 18:28:25.871833344
0.2256058333,1.156809636,2.106459877,0.3364540511,1.4549561058818284e+18,2016-02-08 18:28:25.881828352
0.2356008333,0.589859806,1.987199775,3.329159594,1.4549561058918234e+18,2016-02-08 18:28:25.891823360
0.2455958333,-0.3638985425,2.337162648,4.512057168,1.4549561059018184e+18,2016-02-08 18:28:25.901818368
0.2555908333,-1.006886442,2.36397374,4.46069581,1.4549561059118134e+18,2016-02-08 18:28:25.911813376
0.2655858333,-0.8595728606,1.817184086,2.573730907,1.4549561059218084e+18,2016-02-08 18:28:25.921808384
0.2755808333,-0.3765925553,1.275374067,-0.4082911885,1.4549561059318034e+18,2016-02-08 18:28:25.931803392
0.2855768333,0.406629556,0.44378905,-2.117800698,1.4549561059417994e+18,2016-02-08 18:28:25.941799424
0.2955718333,1.080742112,-0.5597650640999999,-2.205432335,1.4549561059517942e+18,2016-02-08 18:28:25.951794176
0.3055668333,1.068975686,-0.9464296677,-1.339056823,1.4549561059617892e+18,2016-02-08 18:28:25.961789184
0.3155618333,0.4400357953,-1.234696888,-0.1322593403,1.4549561059717842e+18,2016-02-08 18:28:25.971784192
0.3255568333,-0.6874926661,-1.800886872,1.5576929869999998,1.4549561059817792e+18,2016-02-08 18:28:25.981779200
0.3355518333,-1.984628461,-2.358660521,2.69278548,1.4549561059917742e+18,2016-02-08 18:28:25.991774208
0.3455468333,-2.8981455410000003,-2.620314505,1.992262148,1.4549561060017692e+18,2016-02-08 18:28:26.001769216
0.3555418333,-3.10037588,-2.874423972,0.31155134440000004,1.4549561060117642e+18,2016-02-08 18:28:26.011764224
0.3655368333,-2.525606275,-3.870993587,-1.392479909,1.4549561060217592e+18,2016-02-08 18:28:26.021759232
0.3755318333,-3.1509224280000003,-4.008863915,2.035387702,1.4549561060317542e+18,2016-02-08 18:28:26.031754240
0.3855268333,-2.152617067,-1.525927111,-0.4956292945,1.4549561060417492e+18,2016-02-08 18:28:26.041749248
0.3955218333,-0.9915728769,-0.2959812324,0.07557292342000001,1.4549561060517443e+18,2016-02-08 18:28:26.051744256
0.4055168333,0.03785297379,0.4239922781,0.2552134216,1.4549561060617393e+18,2016-02-08 18:28:26.061739264
0.4155128333,1.063911705,0.5293358615,-0.3656737572,1.4549561060717353e+18,2016-02-08 18:28:26.071735296
